EnsID,Solyc01g105660,Solyc02g061770,Solyc02g062040,Solyc02g084850,Solyc03g098100,Solyc03g098240,Solyc03g121880,Solyc04g071780,Solyc04g081900,Solyc04g005250,Solyc04g009860,Solyc06g074940,Solyc06g050130,Solyc06g066600,Solyc06g068620,Solyc07g063870,Solyc08g078040,Solyc08g083110,Solyc08g068730,Solyc09g008350,Solyc09g064820,Solyc09g075820,Solyc12g008840,Solyc12g014100,Solyc12g019740,Solyc12g013620,condition
GSM2830490,2.162483333,3.71609375,4.019602083,2.438649583,1.281614167,3.347038542,4.4597675,2.96188625,3.761430417,2.401206667,7.317725,4.102496667,6.149455417,4.295071667,3.977478333,7.035959583,6.443211667,4.49724625,10.74464167,7.50130875,2.506174792,7.463875,6.605968333,5.822005,6.341160833,7.32441375,0
GSM2830491,2.799077083,3.876865,4.3803475,3.029306667,1.314452083,3.457045,4.570777917,3.86232375,3.994119583,2.844363333,7.3671275,4.802549167,5.969025417,4.512453333,3.763372917,6.693889583,6.413905,4.62388375,10.93525833,7.749645,2.51052,7.605979167,6.786605,5.953465417,6.392870417,7.426377083,0
GSM2830492,2.404784167,4.36887625,4.242415833,2.43842,1.338375417,3.12814375,4.535508333,3.6340675,3.679316667,2.844518333,7.292739583,4.4683975,6.16760375,4.514020833,3.725784583,7.045416667,6.513905417,4.5501225,10.92326667,7.55157125,1.984259583,7.641270833,6.7809425,5.79424125,6.366657083,7.511977083,0
GSM2830493,5.225068333,3.078907083,4.464216667,7.7808425,2.14107625,3.273179583,5.219920417,2.185757083,6.018497083,3.3938175,7.156609583,4.843783333,7.113759167,5.910105833,4.812092917,7.292215417,6.165738333,5.363077917,10.3497875,7.696150833,5.826135417,7.51774875,7.32175125,6.026039583,6.932643333,7.144285833,1
GSM2830494,5.484272083,3.248282917,4.77531125,7.879612083,2.680450417,3.52385125,5.305147083,2.434274583,5.928434167,3.333575833,7.2464325,4.92412875,7.113339167,6.078874583,4.8783875,7.313797917,6.164905417,5.41710875,10.31252292,7.6809,6.216209167,7.426937917,7.459170417,6.227233333,6.900799583,7.392227083,1
GSM2830495,5.377835833,3.206393333,4.534927917,7.747652917,2.75659,3.624730417,5.356815417,2.432044583,6.013019583,3.568929167,7.350650417,5.330641667,7.15695125,5.9746475,4.756742917,7.25526375,6.366197917,5.440344167,10.3497875,7.786885,5.900943333,7.45866875,7.350252083,6.14003875,6.84387875,7.254630833,1
GSM2830496,1.869204167,1.957049167,4.42918125,1.826755417,1.378000417,1.822394583,3.850784583,1.2419675,3.17841625,2.4069325,5.10523625,3.2440325,5.82497625,3.960619375,2.158181667,6.226563333,3.917080417,3.4229275,7.990639167,5.881488333,2.17284625,4.926514167,6.24899625,5.313262083,5.699740417,3.631260417,0
GSM2830497,1.49349625,2.226855417,4.375813333,2.35719125,1.279201667,1.873649167,3.97729,1.035081917,3.23784125,2.500730417,5.023992083,3.421692083,5.808122083,3.768312917,2.313844167,6.354582917,4.144568333,4.05221125,7.705484167,5.672167917,1.959275833,4.626736667,6.02071875,5.531164167,5.661302917,3.423186667,0
GSM2830498,1.832075,1.649007708,4.31867625,1.781935833,1.284940417,1.811720833,3.777634167,1.513079583,3.367710833,2.524325417,5.027427917,2.960389583,5.79733375,3.413996667,2.642149167,6.405283333,3.93192625,3.65017875,7.765998125,5.95266125,2.051836667,4.84466,6.19009625,5.537227917,5.836988333,3.557119583,0
GSM2830499,4.902763333,3.22975,5.71493375,7.47980125,2.466712917,4.291129167,5.744135833,3.164159583,6.24418125,4.33383,6.17914875,5.366633333,7.154382917,6.269248333,3.299951667,7.45239875,6.887732917,5.89160875,10.17020458,7.006073333,4.124582917,7.031329583,7.519496667,6.855969583,6.947080833,7.4092425,1
GSM2830500,5.077322083,3.342654167,5.462385,7.566897083,2.434652917,4.51511,5.817934792,3.37614625,6.251482917,4.287842917,5.863099167,5.293905833,7.14077625,6.20219125,3.291969167,7.456149167,6.92860625,6.08731125,10.14949042,7.036828333,4.12740875,7.112375417,7.541536667,6.898309167,7.013312917,7.418238333,1
GSM2830501,4.753391667,2.707814167,4.804721667,6.712720417,2.566109583,3.331841458,4.851229167,2.288917917,5.155201667,3.156220417,6.174005,3.963761667,7.242617917,5.45625375,4.079305833,7.501710833,6.74787375,5.813037083,9.714614167,7.404727083,3.726483333,7.567827917,7.777742917,6.191433333,6.41924625,6.584795,1
GSM2830502,5.200006667,1.41259,3.928919167,3.244618333,1.485099583,3.098323333,5.435597083,1.136567917,4.961897917,3.480654583,2.6436075,3.094716667,5.077322083,4.746516667,2.7204425,6.866444167,3.040097083,5.66204875,1.480407083,6.191934583,1.643001667,4.259924583,4.405679167,5.030849167,7.201270833,6.200378333,0
GSM2830503,5.132344167,1.48619375,4.01056,2.943437917,1.527987917,2.685489583,5.702885833,1.164484167,5.056620833,3.5673175,2.775893333,2.889857917,5.312983333,4.586294167,2.80216375,6.89305875,3.154870833,5.67869375,2.358135833,6.214090833,2.110033333,4.492490417,4.67297625,4.942331667,7.3299475,6.304618333,0
GSM2830504,4.996727083,1.435494167,3.721499583,3.2771175,1.41016,3.22528625,5.676798333,1.333304167,5.137609167,3.283889167,2.397172083,4.076769583,5.07134375,4.558027917,2.59145625,6.886719583,3.110805833,5.836195417,2.098040833,6.20187125,3.070757083,4.487523333,4.222214167,5.264831667,7.16267625,6.44890625,0
GSM2830505,7.259900833,1.542652083,4.771260833,9.025021667,1.80916625,2.773582917,6.52240375,7.068176667,6.969165833,3.879669583,5.252684167,4.752357083,5.429577917,5.00853,5.115010417,7.597642083,6.769331667,5.661010417,4.196570417,7.6745025,3.374930417,7.009351667,4.02216875,6.356632917,7.6886025,7.229200417,1
GSM2830506,7.294750833,1.552694167,4.79049625,9.04469,1.84395625,3.06165625,6.363662917,6.986995417,6.71797,3.59399625,5.591040833,4.607577917,5.492679167,5.00497875,5.12829375,7.715727917,6.990842083,5.67869375,3.716786875,7.531183333,3.5832225,7.113339167,4.24152375,6.34208625,7.820378333,7.277294583,1
GSM2830507,7.22597125,1.64079125,4.853949167,9.018355833,1.442232708,2.630407083,6.257689583,7.119714583,6.8199725,3.732549167,5.601952083,4.680097917,5.410420833,4.944356667,5.475038333,7.536104583,6.83325,5.634557917,3.59128875,7.628672917,3.41002,7.17094625,4.331441667,6.443211667,7.80817125,7.176122917,1
GSM2830508,3.437619167,1.437715,3.078907083,2.256068333,1.544378542,2.090454583,4.341369583,1.578110833,4.20802875,2.509440417,1.841788333,2.476643333,4.479805417,4.401308333,1.969516875,6.872367917,2.3326875,3.6248875,2.702540417,5.614942083,2.009603958,3.889354167,4.05221125,4.062346667,5.593234167,4.623667917,0
GSM2830509,3.786200417,1.786044375,3.477491667,3.26896125,1.503011667,2.321295833,4.62866875,1.3052525,3.573591667,2.722407083,3.075310833,3.832817083,4.376353333,3.652882917,2.011770417,7.05284,2.860697083,2.684639583,4.6299375,5.223647917,2.152696667,4.832975417,4.215745833,4.111787708,6.5613375,5.692785417,0
GSM2830510,3.56841375,1.869585417,3.846727083,2.849592083,1.559260417,1.86449125,4.731825208,1.364657917,3.71270375,2.567741667,1.925417917,3.024690417,3.122129583,3.702771667,2.031446458,7.117420833,3.636395,2.82572,4.651938333,5.024718333,3.02512,4.58791625,4.070369167,4.242647083,6.85905375,5.5483975,0
GSM2830511,7.157674167,3.411248333,5.032490833,8.030115417,3.418593958,3.807711667,5.952963333,4.228042917,7.22810625,4.146494583,5.101212917,4.560592917,7.315964583,5.234174167,5.684775833,8.362913333,6.64013,4.211870417,5.975407917,7.267689167,3.371582917,7.884775833,4.81696625,6.538552083,8.233973333,7.152560833,1
GSM2830512,7.051445417,3.2647675,4.586541667,8.129555,2.83510375,3.924992083,5.923846667,4.631395,7.241146667,4.633005833,5.109375833,4.5923475,7.315964583,5.092105,5.774165,8.39207625,6.802249167,4.491655833,5.94129875,7.231294583,3.678285833,7.971317083,4.865925417,6.587622917,8.2715,7.12661625,1
GSM2830513,7.108735417,2.669065833,4.27804,8.146199167,4.029100417,3.967829167,5.995643333,3.891878333,7.427917083,4.24348625,4.935230833,4.6073675,7.22810625,5.136303333,5.779495417,8.43057625,6.81862,4.29532,5.91927375,7.20255625,3.922382083,7.988357083,5.033982083,6.514752083,8.124492083,7.163071667,1
