From,To
101258203,Solyc01g109110
101260892,Solyc02g081560
101055602,Solyc12g005340
101266759,Solyc01g090740
101249973,Solyc10g081980
101265426,Solyc04g007980
104645665,Solyc02g093890
101256817,Solyc10g074740
101267295,Solyc03g093550
101268143,Solyc01g096510
101250270,Solyc02g079290
101251368,Solyc03g117800
100736503,Solyc07g005210
101267858,Solyc02g089640
101261073,Solyc01g109250
101266883,Solyc02g093180
543891,Solyc01g108250
101268268,Solyc03g112230
101248759,Solyc03g119250
544066,Solyc10g075110
101250189,Solyc12g005910
101251154,Solyc03g019820
101257817,Solyc10g074790
543634,Solyc05g052040
101259436,Solyc05g007140
101255191,Solyc04g005250
101243659,Solyc02g087210
101264432,Solyc06g050630
101257012,Solyc01g099810
101259793,Solyc10g077130
101246126,Solyc04g005670
543880,Solyc06g005170
101250181,Solyc11g020230
101245158,Solyc04g079760
544056,Solyc02g084850
101261722,Solyc07g017610
544297,Solyc03g007960
101245711,Solyc02g094000
101267943,Solyc10g055760
104645686,Solyc02g091180
101247200,Solyc03g121360
101250294,Solyc04g015360
101251823,Solyc10g006660
101251823,Solyc10g006700
101258576,Solyc08g008280
101254410,Solyc08g081230
101259548,Solyc06g071810
101255501,Solyc06g066370
101263355,Solyc01g111440
101265652,Solyc06g061280
101266189,Solyc11g068710
101254095,Solyc05g052750
100750252,Solyc03g116390
101259661,Solyc09g011860
101248778,Solyc05g052980
101246112,Solyc12g009000
101267950,Solyc10g085590
544165,Solyc08g076930
101243886,Solyc04g071480
101245149,Solyc04g006970
544163,Solyc07g056570
101251453,Solyc03g083470
101247750,Solyc01g079660
101268572,Solyc05g015390
101267241,Solyc06g050800
101250923,Solyc09g064820
101257677,Solyc07g006220
101267005,Solyc03g093540
101265981,Solyc02g089720
100736433,Solyc06g076020
101260171,Solyc01g066430
101261141,Solyc08g082110
108511945,Solyc03g093560
101261140,Solyc08g008370
101255929,Solyc10g008730
101244245,Solyc11g005720
101267365,Solyc10g080670
101055520,Solyc06g076050
101264778,Solyc02g085010
101246424,Solyc05g005150
104648613,Solyc08g007820
101267131,Solyc07g007950
101251569,Solyc04g005480
101254270,Solyc11g072660
101258870,Solyc07g006280
101248717,Solyc01g099370
101254394,Solyc06g075780
101261835,Solyc07g040990
101262488,Solyc03g005570
101249249,Solyc03g083615
101266965,Solyc08g077020
101257219,Solyc10g049630
101250024,Solyc06g066600
101247772,Solyc10g086410
101252440,Solyc01g106390
101244142,Solyc11g010500
101265719,Solyc03g112340
101259996,Solyc10g086280
101253771,Solyc04g015200
101254501,Solyc06g068620
100736459,Solyc02g068200
101250935,Solyc01g111980
101055501,Solyc06g082440
101244827,Solyc02g083400
101267223,Solyc04g007580
101246688,Solyc02g064680
101253648,Solyc02g080530
101245341,Solyc00g011890
101255829,Solyc09g075890
101249381,Solyc07g053740
101258657,Solyc05g051400
101055516,Solyc04g018110
100736444,Solyc09g015770
100736444,Solyc01g095630
101261019,Solyc04g071030
101260046,Solyc05g009610
101247647,Solyc08g077900
101260840,Solyc07g048060
101253953,Solyc02g092715
100301908,Solyc01g086960
101248124,Solyc08g067630
101259138,Solyc03g118810
101253038,Solyc10g078770
101247838,Solyc07g056320
101261228,Solyc05g009650
101261347,Solyc08g041860
101245413,Solyc02g094030
101245084,Solyc08g078060
100037497,Solyc11g012510
101259925,Solyc12g089160
101249565,Solyc08g005610
101252615,Solyc08g077680
104645948,Solyc02g065570
101255324,Solyc08g075280
101258270,Solyc06g074030
101263892,Solyc03g114710
101266245,Solyc08g068690
101258155,Solyc05g052570
101251639,Solyc02g088090
101254906,Solyc06g049020
544101,Solyc12g017240
101244435,Solyc02g090820
101268787,Solyc09g014990
101266924,Solyc03g112297
100037498,Solyc01g100200
101263533,Solyc07g062700
100125891,Solyc08g006320
101265833,Solyc06g067980
101250584,Solyc12g098900
101251793,Solyc07g047980
101256209,Solyc08g075150
101252760,Solyc03g083480
100301928,Solyc07g040960
101247056,Solyc09g014750
101246087,Solyc09g075140
101265917,Solyc04g074730
101258862,Solyc05g052520
778230,Solyc04g054690
101267548,Solyc08g078190
101245319,Solyc02g072080
101258062,Solyc04g064530
101248706,Solyc01g057770
101259275,Solyc08g078510
100736493,Solyc09g074270
101248026,Solyc07g063410
544313,Solyc03g098240
101263630,Solyc08g083130
101262661,Solyc01g096320
544202,Solyc02g093050
101263877,Solyc03g007870
101268294,Solyc07g065930
543731,Solyc07g042550
778214,Solyc10g075100
101257277,Solyc06g082010
100301944,Solyc06g068460
101251855,Solyc12g010540
101255654,Solyc02g077980
101266314,Solyc12g056410
544157,Solyc01g095150
544034,Solyc10g075090
101246267,Solyc07g063470
544031,Solyc01g095140
543603,Solyc03g117980
100316895,Solyc03g096670
100316894,Solyc03g121880
100316891,Solyc02g084980
101250636,Solyc01g110480
101257269,Solyc06g050130
101257026,Solyc01g091590
101254676,Solyc03g118470
544260,Solyc10g009110
101244636,Solyc02g077330
101245840,Solyc04g081900
101267530,Solyc06g050810
101246812,Solyc03g116890
101262765,Solyc11g005380
544009,Solyc03g122340
101249794,Solyc03g007230
101245191,Solyc08g076870
101246280,Solyc01g087180
101247012,Solyc04g078550
101267065,Solyc01g102290
101251195,Solyc06g084320
101267186,Solyc02g084890
101253257,Solyc12g009240
101266533,Solyc07g053050
100134883,Solyc04g077980
101262296,Solyc03g098730
101246841,Solyc07g042230
101267981,Solyc03g111100
101055585,Solyc01g107170
101267862,Solyc02g069580
544131,Solyc10g081170
101244425,Solyc01g107290
101266537,Solyc07g064900
544010,Solyc08g078070
543701,Solyc06g075690
101261529,Solyc06g076670
101244095,Solyc07g045100
104645408,Solyc01g107090
101267758,Solyc11g005670
101246836,Solyc07g006890
100134896,Solyc08g077210
101247807,Solyc04g009960
101244894,Solyc08g076880
101249309,Solyc10g006130
101246277,Solyc01g079600
101267632,Solyc08g080540
